"Rep_trt_id","Treatment_id","Treatment.x","Rep","Ryegrass.cultivar","Sowing.rate..kg.ha.","PlotID","gg_sample_Date","Mean.m.2","stdev","se..mean.","year","rs_sample_Date","grazing_date","days_snc_lst_graze","Blue","GLI","Green","IR","MSAVI","NDVI","NGRDI","Red","RedEdge","reNDVI","month","day","OBJECTID","Treatment.y","Lat","Long","Shape_Length","Shape_Area"
"R4T1",1,"Nui  30 Rep 4",4,"Nui",30,84,"2/05/2012",0,0,0,2012,"10/01/2012","20/12/2011",113,5522.21344,0.123711807,4966.419939,16105.39106,0.861932487,0.757370692,0.381481406,2223.571784,5319.713482,0.503413067,1,10,84,"30 kg/ha",617850,5167494,67.3126973795132,109.517840470846
"R5T1",1,"Nui 6 Rep 5",5,"Nui",6,92,"2/05/2012",0,0,0,2012,"10/01/2012","20/12/2011",113,5448.471772,0.124509382,4860.286966,15630.44363,0.864394582,0.761180927,0.392672032,2119.514241,5168.79124,0.502982559,1,10,92,"6 kg/ha",617846,5167523,67.3125006319667,109.518988252938
"R5T1",1,"Nui  30 Rep 5",5,"Nui",30,93,"2/05/2012",0,0,0,2012,"10/01/2012","20/12/2011",113,5425.305028,0.119105874,4820.859194,15744.19888,0.862543264,0.758314455,0.380356879,2164.086901,5224.933109,0.501654803,1,10,93,"30 kg/ha",617845,5167526,67.3124673060086,109.518515302267
"R5T2",2,"Alto 6 Rep 5",5,"Alto",6,98,"2/05/2012",0,0,0,2012,"10/01/2012","20/12/2011",113,5509.534599,0.119154219,4949.464726,15681.38564,0.85450159,0.745970928,0.36895355,2281.554509,5361.048798,0.490453558,1,10,98,"6 kg/ha",617842,5167544,67.3122698059792,109.518155402878
"R5T2",2,"Alto  30 Rep 5",5,"Alto",30,100,"2/05/2012",0,0,0,2012,"10/01/2012","20/12/2011",113,5592.536264,0.117235299,5042.146821,14574.55347,0.837012699,0.719716154,0.359518901,2375.398927,5526.597881,0.450121261,1,10,100,"30 kg/ha",617841,5167551,67.3122760485387,109.518318584458
"R1T1",1,"Nui  30 Rep 1",1,"Nui",30,1,"",NA,NA,NA,2013,"30/01/2013","",NA,5473.663469,0.096468744,4876.118444,12207.30599,0.790074287,0.653003328,0.311020137,2562.544484,5623.195659,0.369261082,1,30,1,"30 kg/ha",617828,5167369,67.3137281323437,109.51843202372
"R1T1",1,"Nui 6 Rep 1",1,"Nui",6,2,"",NA,NA,NA,2013,"30/01/2013","",NA,5384.843435,0.103511425,4867.761519,12762.8838,0.802212524,0.669753958,0.317031344,2524.259243,5606.88222,0.389553224,1,30,2,"6 kg/ha",617828,5167373,67.3137984910447,109.519644241134
"",NA,"",NA,"",NA,3,"",NA,NA,NA,2013,"30/01/2013","",NA,5347.002778,0.107505817,4894.218972,12895.15409,0.802935048,0.67076168,0.316477876,2541.103808,5634.556539,0.391835453,1,30,3,NA,617827,5167376,67.3136020391903,109.518188764133
"",NA,"",NA,"",NA,4,"",NA,NA,NA,2013,"30/01/2013","",NA,5398.322972,0.103063016,4901.907038,12745.31651,0.798077768,0.664009922,0.311478745,2573.482182,5655.711936,0.385283062,1,30,4,NA,617827,5167380,67.3136020370503,109.518188746173
"",NA,"",NA,"",NA,5,"",NA,NA,NA,2013,"30/01/2013","",NA,5437.219048,0.097104735,4850.35456,12623.64401,0.798287155,0.664299939,0.311504756,2546.270632,5626.500598,0.38340208,1,30,5,NA,617826,5167384,67.3136020399618,109.518188777648
"",NA,"",NA,"",NA,6,"",NA,NA,NA,2013,"30/01/2013","",NA,5458.523541,0.087980214,4746.604241,12588.6569,0.801454928,0.668698653,0.310141662,2499.336224,5539.432078,0.388856477,1,30,6,NA,617826,5167387,67.3134866268955,109.517772340232
"",NA,"",NA,"",NA,7,"",NA,NA,NA,2013,"30/01/2013","",NA,5419.9007,0.092213766,4745.979428,12752.12979,0.80635736,0.675551955,0.315539875,2469.278003,5496.848539,0.397571914,1,30,7,NA,617825,5167391,67.3135199511429,109.518245284037
"",NA,"",NA,"",NA,8,"",NA,NA,NA,2013,"30/01/2013","",NA,5440.152628,0.08962561,4735.816388,12836.25139,0.807310842,0.676891375,0.313835785,2473.328686,5525.780336,0.398129747,1,30,8,NA,617825,5167395,67.313569467779,109.519223533497
"",NA,"",NA,"",NA,9,"",NA,NA,NA,2013,"30/01/2013","",NA,5442.614622,0.08966785,4765.79809,12848.71599,0.803842941,0.672029809,0.308191628,2520.287506,5564.177007,0.395621643,1,30,9,NA,617824,5167398,67.3134873803647,109.519280052279
"",NA,"",NA,"",NA,10,"",NA,NA,NA,2013,"30/01/2013","",NA,5405.962557,0.098750273,4854.974364,12860.36672,0.801039815,0.668120728,0.309748903,2558.621252,5680.172468,0.387269981,1,30,10,NA,617824,5167402,67.3132891271711,109.517412465452
"R2T2",2,"Alto  30 Rep 2",2,"Alto",30,11,"",NA,NA,NA,2013,"30/01/2013","",NA,5439.934296,0.1002234,4908.033045,12868.3697,0.798898463,0.665146812,0.309541869,2587.768593,5717.267261,0.384764991,1,30,11,"30 kg/ha",617823,5167405,67.313404537017,109.517828856785
"R2T2",2,"Alto 6 Rep 2",2,"Alto",6,12,"",NA,NA,NA,2013,"30/01/2013","",NA,5458.541465,0.096477324,4892.074948,12872.0941,0.797709292,0.663499862,0.305266988,2603.82435,5784.006963,0.379934002,1,30,12,"6 kg/ha",617823,5167409,67.3134873804596,109.519280061916
"",NA,"",NA,"",NA,13,"",NA,NA,NA,2013,"30/01/2013","",NA,5378.719498,0.101408904,4873.718315,12915.22266,0.800710734,0.667662973,0.308819294,2573.785456,5769.222436,0.382457182,1,30,13,NA,617822,5167413,67.3133719666371,109.518863625027
"",NA,"",NA,"",NA,14,"",NA,NA,NA,2013,"30/01/2013","",NA,5301.673734,0.107779966,4850.718504,12880.85521,0.804976834,0.673616258,0.317645727,2511.986669,5694.948195,0.386842327,1,30,14,NA,617822,5167416,67.313322451125,109.51788540869
"",NA,"",NA,"",NA,15,"",NA,NA,NA,2013,"30/01/2013","",NA,5339.298901,0.103667285,4829.709109,12773.58718,0.80384656,0.672034919,0.3168558,2505.504222,5617.08466,0.389137634,1,30,15,NA,617821,5167420,67.3133719666371,109.518863625027
"",NA,"",NA,"",NA,16,"",NA,NA,NA,2013,"30/01/2013","",NA,5383.029191,0.095349221,4805.106613,12637.30503,0.797888645,0.663748211,0.305882968,2554.062209,5556.846279,0.389161255,1,30,16,NA,617821,5167423,67.3132898792213,109.518920154012
"",NA,"",NA,"",NA,17,"",NA,NA,NA,2013,"30/01/2013","",NA,5284.360705,0.099827604,4795.551233,12622.60293,0.796736112,0.662154646,0.302928328,2565.638376,5533.462127,0.390455794,1,30,17,NA,617820,5167427,67.3132070380655,109.517468981478
"",NA,"",NA,"",NA,18,"",NA,NA,NA,2013,"30/01/2013","",NA,5374.834057,0.095703557,4817.287662,12574.59582,0.795081243,0.659871872,0.303030244,2576.689084,5534.631048,0.388750156,1,30,18,NA,617820,5167431,67.3132898799299,109.518920158417
"R2T1",1,"Nui  30 Rep 2",2,"Nui",30,19,"",NA,NA,NA,2013,"30/01/2013","",NA,5402.026537,0.096104584,4842.164298,12457.88195,0.792567197,0.656415931,0.30406618,2584.091167,5549.175918,0.383666565,1,30,19,"30 kg/ha",617819,5167434,67.3131744676419,109.51850374472
"R2T1",1,"Nui 6 Rep 2",2,"Nui",6,20,"",NA,NA,NA,2013,"30/01/2013","",NA,5350.719907,0.098859248,4849.361148,12271.9672,0.787891528,0.650026612,0.301446105,2602.904651,5548.083193,0.377321268,1,30,20,"6 kg/ha",617818,5167438,67.3132077900736,109.518976654835
"",NA,"",NA,"",NA,21,"",NA,NA,NA,2013,"30/01/2013","",NA,5320.340266,0.09925302,4842.270581,12193.29813,0.785503081,0.646781763,0.298611697,2615.340642,5607.596385,0.369964652,1,30,21,NA,617818,5167442,67.3131744684134,109.518503758235
"R3T3",3,"Halo 6 Rep 3",3,"Halo",6,22,"",NA,NA,NA,2013,"30/01/2013","",NA,5399.904023,0.093320823,4830.935726,12164.47823,0.785221682,0.646400321,0.298024939,2612.581851,5587.57848,0.370486635,1,30,22,"6 kg/ha",617817,5167445,67.3130923788128,109.518560249947
"",NA,"",NA,"",NA,23,"",NA,NA,NA,2013,"30/01/2013","",NA,5469.656707,0.086452561,4805.254923,12141.64269,0.784917196,0.645987777,0.295805649,2611.374145,5599.705849,0.368739548,1,30,23,NA,617817,5167449,67.3130923803391,109.518560273139
"",NA,"",NA,"",NA,24,"",NA,NA,NA,2013,"30/01/2013","",NA,5424.278322,0.086573267,4828.33754,11936.38668,0.774330089,0.631770452,0.283802242,2693.595948,5582.226263,0.362709105,1,30,24,NA,617816,5167452,67.3130923785025,109.518560245542
"R3T3",3,"Halo  30 Rep 3",3,"Halo",30,25,"",NA,NA,NA,2013,"30/01/2013","",NA,5375.298135,0.091001637,4896.857659,11624.69768,0.760449744,0.613498632,0.274979993,2784.608224,5597.074044,0.350000205,1,30,25,"30 kg/ha",617816,5167456,67.3129769683697,109.518143863846
"",NA,"",NA,"",NA,26,"",NA,NA,NA,2013,"30/01/2013","",NA,5364.669113,0.093269787,4950.119013,11392.09958,0.750139934,0.600189668,0.26983824,2846.337034,5581.212245,0.342354361,1,30,26,NA,617815,5167460,67.3130102903403,109.518616764851
"R3T2",2,"Alto  30 Rep 3",3,"Alto",30,27,"",NA,NA,NA,2013,"30/01/2013","",NA,5405.282035,0.09224061,4950.397957,11316.19537,0.750503872,0.600655814,0.273635204,2823.253309,5543.323991,0.342410199,1,30,27,"30 kg/ha",617815,5167463,67.3128948799054,109.51820037875
"",NA,"",NA,"",NA,28,"",NA,NA,NA,2013,"30/01/2013","",NA,5406.881595,0.090300343,4874.172269,11307.5227,0.758850025,0.611419313,0.282526793,2726.717315,5492.754413,0.346111451,1,30,28,NA,617814,5167467,67.312893830548,109.519295928374
"",NA,"",NA,"",NA,29,"",NA,NA,NA,2013,"30/01/2013","",NA,5377.565432,0.085709789,4781.083107,11239.42379,0.762003039,0.61552338,0.2824895,2674.858024,5433.301104,0.348240778,1,30,29,NA,617814,5167470,67.3128127903033,109.518256880665
"R3T2",2,"Alto 6 Rep 3",3,"Alto",6,30,"",NA,NA,NA,2013,"30/01/2013","",NA,5374.536855,0.080270083,4707.40915,10962.23461,0.759061348,0.611694052,0.281181502,2641.134585,5344.076806,0.344538851,1,30,30,"6 kg/ha",617813,5167474,67.3127794657317,109.517783952591
"R4T3",3,"Halo  30 Rep 4",4,"Halo",30,31,"",NA,NA,NA,2013,"30/01/2013","",NA,5483.640519,0.070665826,4680.232327,10526.36185,0.74907723,0.598831136,0.278500105,2641.209897,5236.80999,0.335563928,1,30,31,"30 kg/ha",617813,5167478,67.3128127903033,109.518256880665
